1,candy bar
1,chocolate
1,coffee
2,laptop
2,mouse
2,headphones
2,pens
2,notepad
3,potato chips
3,drink mix
3,power cable
4,backpack
4,hiking poles
4,fishing rod
4,cooler
5,chocolate
5,coffee
5,potato chips
5,drink mix
6,printer
6,printer paper
6,notepad
6,pens
7,t-shirt
7,shorts
7,sandals
8,formal shoes
8,dress
8,chocolate
8,coffee
8,jellybeans
9,bed
9,bed sheets
9,chips
9,drink mix
10,coffee table
10,rug
10,chocolate
10,coffee
11,printer paper
11,printer
11,stapler
11,coffee
11,chocolate
12,coffee table
12,rug
12,recliner
13,dog treats
13,beef jerky
14,pens
14,notepad
14,dog treats
15,printer
15,printer paper
15,power cable
16,laptop
16,mouse
16,printer paper
16,printer
16,pencils
16,notepad
17,coffee table
17,recliner
17,power cable
18,coffee
18,chocolate
19,rug
19,recliner
20,laptop
20,power cable
20,printer
21,pens
21,notepad
21,power cable
22,headphones
22,power cable
23,potato chips
23,drink mix
23,t-shirt
23,shorts
23,sandals
23,dog treats
24,router
24,laptop
24,printer
24,printer paper
24,mouse
24,power cable
24,headphones
25,coffee
25,chocolate
26,pencils
26,notepad
27,rug
27,recliner
28,coffee
28,chocolate
28,coffee table
28,rug
29,t-shirt
29,shorts
29,sandals
29,beef jerky
29,dog treats
30,athletic shoes
30,shorts
30,socks
31,potato chips
31,drink mix
32,dress
32,sandals
33,pencils
33,pens
33,printer paper
33,notepad
34,coffee
34,chocolate
35,power cable
35,headphones
35,mouse
35,laptop
36,t-shirt
36,shorts
36,sandals
37,coffee table
37,rug
38,dog treats
38,fishing rod
38,cooler
39,pencils
39,pens
39,notepad
40,athletic shoes
40,shorts
40,socks
41,cooler
41,fishing rod
41,dog treats
42,coffee
42,chocolate
43,potato chips
43,drink mix
44,dress
44,sandals
45,coffee
45,potato chips
45,jellybeans
46,athletic shoes
46,socks
46,shorts
47,athletic shoes
47,socks
47,shorts
47,cooler
47,fishing rod
47,dog treats
48,coffee
48,chocolate
49,laptop
49,notepad
49,pens
49,pencils
49,power cable
49,printer
49,printer paper
50,dress
50,sandals
50,jellybeans
51,recliner
51,coffee table
51,rug
51,coffee
51,chocolate
52,coffee
52,chocolate
52,socks
52,notepad
